source_id,target_id,target_title,resolution,relationship
Benchmarks/CarDD benchmark,Datasets/Public/CarDD,CarDD,resolved,wikilink
Benchmarks/CarDD benchmark,Methods/Models/Computer Vision Models/DCN+,DCN+,resolved,wikilink
Benchmarks/CarDD benchmark,Metrics/Detection/Average precision,Average precision,resolved,wikilink
Benchmarks/CarDD benchmark,Metrics/Segmentation/E-measure,E-measure,resolved,wikilink
Benchmarks/CarDD benchmark,Metrics/Segmentation/F-measure,F-measure,resolved,wikilink
Benchmarks/CarDD benchmark,Metrics/Segmentation/Mean Absolute Error,Mean Absolute Error,resolved,wikilink
Benchmarks/CarDD benchmark,Metrics/Segmentation/S-measure,S-measure,resolved,wikilink
Benchmarks/CarDD benchmark,Metrics/Segmentation/Weighted F-measure,Weighted F-measure,resolved,wikilink
Benchmarks/CarDD benchmark,Papers/Dataset/2023 - CarDD A New Dataset for Vision-Based Car Damage Detection,2023 - CarDD A New Dataset for Vision-Based Car Damage Detection,resolved,wikilink
Benchmarks/CarDD benchmark,Tasks/Car damage detection,Car damage detection,resolved,wikilink
Benchmarks/CarDD benchmark,Tasks/Defect classification,Defect classification,resolved,wikilink
Benchmarks/CarDD benchmark,Tasks/Defect segmentation,Defect segmentation,resolved,wikilink
Benchmarks/CarDD benchmark,Tasks/Salient object detection,Salient object detection,resolved,wikilink
Benchmarks/CSDD benchmark,Concepts/Surface defect detection,Surface defect detection,resolved,wikilink
Benchmarks/CSDD benchmark,Datasets/Public/CSDD,CSDD,resolved,wikilink
Benchmarks/CSDD benchmark,Datasets/Public/GC10-DET,GC10-DET,resolved,wikilink
Benchmarks/CSDD benchmark,Datasets/Public/NEU-DET,NEU-DET,resolved,wikilink
Benchmarks/CSDD benchmark,Domains/Metals/Metal inspection,Metal inspection,resolved,wikilink
Benchmarks/CSDD benchmark,Methods/Models/Computer Vision Models/YOLOv5 with global attention and partial convolution,YOLOv5 with global attention and partial convolution,resolved,wikilink
Benchmarks/CSDD benchmark,Methods/Models/Segmentation Models/U-Net,U-Net,resolved,wikilink
Benchmarks/CSDD benchmark,Metrics/Detection/Average precision,Average precision,resolved,wikilink
Benchmarks/CSDD benchmark,Metrics/Detection/mAP,mAP,resolved,wikilink
Benchmarks/CSDD benchmark,Metrics/Efficiency/GFLOPs,GFLOPs,resolved,wikilink
Benchmarks/CSDD benchmark,Metrics/Segmentation/IoU,IoU,resolved,wikilink
Benchmarks/CSDD benchmark,Metrics/Segmentation/mIoU,mIoU,resolved,wikilink
Benchmarks/CSDD benchmark,Papers/Dataset/2025 - CSDD A Benchmark Dataset for Casting Surface Defect Detection and Segmentation,2025 - CSDD A Benchmark Dataset for Casting Surface Defect Detection and Segmentation,resolved,wikilink
Benchmarks/CSDD benchmark,Tasks/Casting surface defect detection,Casting surface defect detection,resolved,wikilink
Benchmarks/CSDD benchmark,Tasks/Defect segmentation,Defect segmentation,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Concepts/Distribution shift,Distribution shift,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Datasets/Public/Gearbox components remanufacturing inspection dataset,Gearbox components remanufacturing inspection dataset,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Domains/Emerging Domains/Remanufacturing inspection,Remanufacturing inspection,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Methods/Emerging Methods/Contrastive regularization loss,Contrastive regularization loss,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Metrics/Classification/F1-score,F1-score,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,resolved,wikilink
Benchmarks/Gearbox component distribution-shift inspection benchmark,Tasks/Defect classification,Defect classification,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Datasets/Public/Industrial-5i,Industrial-5i,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Domains/Multi-Industry Anomaly Detection/Multi-industry anomaly detection,Multi-industry anomaly detection,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Methods/Emerging Methods/Few-shot anomaly detection,Few-shot anomaly detection,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Methods/Models/Segmentation Models/IndustrialNet,IndustrialNet,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Metrics/Segmentation/FB-IoU,FB-IoU,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Metrics/Segmentation/mIoU,mIoU,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Papers/Dataset/2023 - Few-shot semantic segmentation for industrial defect recognition,2023 - Few-shot semantic segmentation for industrial defect recognition,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Tasks/Defect segmentation,Defect segmentation,resolved,wikilink
Benchmarks/Industrial-5i few-shot segmentation benchmark,Tasks/Industrial anomaly detection,Industrial anomaly detection,resolved,wikilink
Benchmarks/Lusitano benchmark,Datasets/Public/Lusitano,Lusitano,resolved,wikilink
Benchmarks/Lusitano benchmark,Methods/Models/Anomaly Detection Models/DBFAD,DBFAD,resolved,wikilink
Benchmarks/Lusitano benchmark,Methods/Models/Anomaly Detection Models/RD4AD,RD4AD,resolved,wikilink
Benchmarks/Lusitano benchmark,Methods/Models/Anomaly Detection Models/Unsupervised anomaly detection,Unsupervised anomaly detection,resolved,wikilink
Benchmarks/Lusitano benchmark,Metrics/Anomaly Detection/AU-ROC,AU-ROC,resolved,wikilink
Benchmarks/Lusitano benchmark,Metrics/Detection/mAP,mAP,resolved,wikilink
Benchmarks/Lusitano benchmark,Papers/Dataset/2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection,2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection,resolved,wikilink
Benchmarks/Lusitano benchmark,Tasks/Industrial anomaly detection,Industrial anomaly detection,resolved,wikilink
Benchmarks/Lusitano benchmark,Tasks/Textile defect detection,Textile defect detection,resolved,wikilink
Benchmarks/NEU-DET benchmark,Datasets/Public/NEU-CLS,NEU-CLS,resolved,wikilink
Benchmarks/NEU-DET benchmark,Datasets/Public/NEU-DET,NEU-DET,resolved,wikilink
Benchmarks/NEU-DET benchmark,Domains/Metals/Metal inspection,Metal inspection,resolved,wikilink
Benchmarks/NEU-DET benchmark,Methods/Models/Computer Vision Models/Defect Detection Network,Defect Detection Network,resolved,wikilink
Benchmarks/NEU-DET benchmark,Metrics/Classification/Recall,Recall,resolved,wikilink
Benchmarks/NEU-DET benchmark,Metrics/Detection/Average precision,Average precision,resolved,wikilink
Benchmarks/NEU-DET benchmark,Metrics/Detection/mAP,mAP,resolved,wikilink
Benchmarks/NEU-DET benchmark,Metrics/Efficiency/FPS,FPS,resolved,wikilink
Benchmarks/NEU-DET benchmark,Papers/Dataset/2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,resolved,wikilink
Benchmarks/NEU-DET benchmark,Tasks/Metallic surface defect detection,Metallic surface defect detection,resolved,wikilink
Benchmarks/NEU-DET benchmark,Tasks/Object detection,Object detection,resolved,wikilink
Benchmarks/OGD-DET benchmark,Datasets/Availability Unspecified/OGD-DET,OGD-DET,resolved,wikilink
Benchmarks/OGD-DET benchmark,Methods/Emerging Methods/Video-based two-stage defect detection,Video-based two-stage defect detection,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Classification/Precision,Precision,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Classification/Recall,Recall,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Detection/Average precision,Average precision,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Detection/mAP@0.25,mAP@0.25,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Detection/mAP@0.50,mAP@0.50,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Detection/mAP@0.75,mAP@0.75,resolved,wikilink
Benchmarks/OGD-DET benchmark,Metrics/Efficiency/FPS,FPS,resolved,wikilink
Benchmarks/OGD-DET benchmark,Papers/Research/2022 - Video-Based Two-Stage Network for Optical Glass Sub-Millimeter Defect Detection,2022 - Video-Based Two-Stage Network for Optical Glass Sub-Millimeter Defect Detection,resolved,wikilink
Benchmarks/OGD-DET benchmark,Tasks/Optical glass defect detection,Optical glass defect detection,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Datasets/Public/PVEL-AD,PVEL-AD,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Methods/Models/Computer Vision Models/YOLO-ACF,YOLO-ACF,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Methods/Models/Computer Vision Models/YOLOv5,YOLOv5,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Metrics/Detection/Average precision,Average precision,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Metrics/Detection/mAP,mAP,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Metrics/Efficiency/FPS,FPS,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Papers/Dataset/2023 - PVEL-AD A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection,2023 - PVEL-AD A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Papers/Research/2024 - Enhanced Photovoltaic Panel Defect Detection via Adaptive Complementary Fusion in YOLO-ACF,2024 - Enhanced Photovoltaic Panel Defect Detection via Adaptive Complementary Fusion in YOLO-ACF,resolved,wikilink
Benchmarks/PVEL-AD benchmark,Tasks/Solar cell defect detection,Solar cell defect detection,resolved,wikilink
Benchmarks/SCAN benchmark,Datasets/Public/SCAN,SCAN,resolved,wikilink
Benchmarks/SCAN benchmark,Metrics/Emerging Metrics/Exact-match accuracy,Exact-match accuracy,resolved,wikilink
Benchmarks/SCAN benchmark,Papers/Research/2018 - Generalization without Systematicity On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,2018 - Generalization without Systematicity On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,resolved,wikilink
Benchmarks/SCAN benchmark,Tasks/Compositional generalization,Compositional generalization,resolved,wikilink
Benchmarks/SolarDK benchmark,Datasets/Public/SolarDK,SolarDK,resolved,wikilink
Benchmarks/SolarDK benchmark,Metrics/Classification/Cohen's kappa,Cohen's kappa,resolved,wikilink
Benchmarks/SolarDK benchmark,Metrics/Classification/Precision,Precision,resolved,wikilink
Benchmarks/SolarDK benchmark,Metrics/Classification/Recall,Recall,resolved,wikilink
Benchmarks/SolarDK benchmark,Metrics/Segmentation/mIoU,mIoU,resolved,wikilink
Benchmarks/SolarDK benchmark,Papers/Dataset/2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset,2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset,resolved,wikilink
Benchmarks/SolarDK benchmark,Tasks/Solar panel classification,Solar panel classification,resolved,wikilink
Benchmarks/SolarDK benchmark,Tasks/Solar panel localization,Solar panel localization,resolved,wikilink
Benchmarks/SolarDK benchmark,Tasks/Urban semantic segmentation,Urban semantic segmentation,resolved,wikilink
Benchmarks/SSGD benchmark,Concepts/Industrial visual inspection,Industrial visual inspection,resolved,wikilink
Benchmarks/SSGD benchmark,Datasets/Public/SSGD,SSGD,resolved,wikilink
Benchmarks/SSGD benchmark,Domains/Glass/Glass inspection,Glass inspection,resolved,wikilink
Benchmarks/SSGD benchmark,Domains/Semiconductor and Electronics/Semiconductor and electronics,Semiconductor and electronics,resolved,wikilink
Benchmarks/SSGD benchmark,Metrics/Detection/Average precision,Average precision,resolved,wikilink
Benchmarks/SSGD benchmark,Metrics/Detection/mAP@0.50,mAP@0.50,resolved,wikilink
Benchmarks/SSGD benchmark,Metrics/Efficiency/FPS,FPS,resolved,wikilink
Benchmarks/SSGD benchmark,Metrics/Efficiency/GFLOPs,GFLOPs,resolved,wikilink
Benchmarks/SSGD benchmark,Papers/Dataset/2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection,2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection,resolved,wikilink
Benchmarks/SSGD benchmark,Tasks/Smartphone screen glass defect detection,Smartphone screen glass defect detection,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Datasets/Public/ZJU-Leaper,ZJU-Leaper,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Domains/Textiles/Textile and fiber inspection,Textile and fiber inspection,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Learning Paradigms/Transfer Learning/Transfer learning,Transfer learning,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Learning Paradigms/Weakly Supervised Learning/Weakly supervised learning,Weakly supervised learning,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Methods/Data Augmentation/Data augmentation,Data augmentation,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Methods/Models/Segmentation Models/U-Net,U-Net,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Metrics/Segmentation/Dice score,Dice score,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Metrics/Segmentation/IoU,IoU,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Papers/Dataset/2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Tasks/Defect segmentation,Defect segmentation,resolved,wikilink
Benchmarks/ZJU-Leaper benchmark,Tasks/Textile defect detection,Textile defect detection,resolved,wikilink
Concepts/Class imbalance,Concepts/Industrial visual inspection,Industrial visual inspection,resolved,wikilink
Concepts/Class imbalance,Methods/Data Augmentation/Data augmentation,Data augmentation,resolved,wikilink
Concepts/Class imbalance,Metrics/Classification/Recall,Recall,resolved,wikilink
Concepts/Class imbalance,Papers/Dataset/2020 - Infrared Solar Module Dataset for Anomaly Detection,2020 - Infrared Solar Module Dataset for Anomaly Detection,resolved,wikilink
Concepts/Class imbalance,Papers/Research/2025 - Enhancing Glass Defect Detection with Diffusion Models,2025 - Enhancing Glass Defect Detection with Diffusion Models,resolved,wikilink
Concepts/Class imbalance,Papers/Research/2026 - Thermal Imaging for Sealing Defect Detection in Pharmaceutical Bags Using a Temporal Fusion Network,2026 - Thermal Imaging for Sealing Defect Detection in Pharmaceutical Bags Using a Temporal Fusion Network,resolved,wikilink
Concepts/Class imbalance,Tasks/Defect classification,Defect classification,resolved,wikilink
Concepts/Class imbalance,Tasks/Solar module anomaly classification,Solar module anomaly classification,resolved,wikilink
Concepts/Distribution shift,Benchmarks/Gearbox component distribution-shift inspection benchmark,Gearbox component distribution-shift inspection benchmark,resolved,wikilink
Concepts/Distribution shift,Concepts/Domain gap,Domain gap,resolved,wikilink
Concepts/Distribution shift,Concepts/Industrial visual inspection,Industrial visual inspection,resolved,wikilink
Concepts/Distribution shift,Domains/Emerging Domains/Remanufacturing inspection,Remanufacturing inspection,resolved,wikilink
Concepts/Distribution shift,Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,resolved,wikilink
