node_id,node_type,title,aliases,status,year,paper_type,availability,paper_key,doi,url,source_note
Bases/Vault Statistics,Bases,Vault Statistics,,,,,,,,,Bases/Vault Statistics.md
Benchmarks/CarDD benchmark,Benchmarks,CarDD benchmark,CarDD detection benchmark | CarDD segmentation benchmark,,,,,,,,Benchmarks/CarDD benchmark.md
Benchmarks/CSDD benchmark,Benchmarks,CSDD benchmark,CSDD detection benchmark | CSDD segmentation benchmark,,,,,,,,Benchmarks/CSDD benchmark.md
Benchmarks/Gearbox component distribution-shift inspection benchmark,Benchmarks,Gearbox component distribution-shift inspection benchmark,Gearbox remanufacturing inspection benchmark | S1-S4 gearbox component split benchmark,,,,,,,,Benchmarks/Gearbox component distribution-shift inspection benchmark.md
Benchmarks/Industrial-5i few-shot segmentation benchmark,Benchmarks,Industrial-5i few-shot segmentation benchmark,Industrial-5i benchmark,,,,,,,,Benchmarks/Industrial-5i few-shot segmentation benchmark.md
Benchmarks/Lusitano benchmark,Benchmarks,Lusitano benchmark,Lusitano anomaly detection benchmark | Lusitano fabric defect benchmark,,,,,,,,Benchmarks/Lusitano benchmark.md
Benchmarks/NEU-DET benchmark,Benchmarks,NEU-DET benchmark,NEU-DET detection benchmark,,,,,,,,Benchmarks/NEU-DET benchmark.md
Benchmarks/OGD-DET benchmark,Benchmarks,OGD-DET benchmark,OGD-DET optical glass defect benchmark,,,,,,,,Benchmarks/OGD-DET benchmark.md
Benchmarks/PVEL-AD benchmark,Benchmarks,PVEL-AD benchmark,PVEL-AD object detection benchmark,,,,,,,,Benchmarks/PVEL-AD benchmark.md
Benchmarks/SCAN benchmark,Benchmarks,SCAN benchmark,SCAN,,,,,,,,Benchmarks/SCAN benchmark.md
Benchmarks/SolarDK benchmark,Benchmarks,SolarDK benchmark,SolarDK classification benchmark | SolarDK segmentation benchmark,,,,,,,,Benchmarks/SolarDK benchmark.md
Benchmarks/SSGD benchmark,Benchmarks,SSGD benchmark,Smartphone screen glass defect detection benchmark,,,,,,,,Benchmarks/SSGD benchmark.md
Benchmarks/ZJU-Leaper benchmark,Benchmarks,ZJU-Leaper benchmark,ZJU-Leaper evaluation protocol | ZJU-Leaper fabric defect benchmark,,,,,,,,Benchmarks/ZJU-Leaper benchmark.md
Concepts/Class imbalance,Concepts,Class imbalance,Imbalanced datasets | Class-imbalanced learning,,,,,,,,Concepts/Class imbalance.md
Concepts/Distribution shift,Concepts,Distribution shift,Dataset shift | Train-test distribution shift | Data shift,,,,,,,,Concepts/Distribution shift.md
Concepts/Domain gap,Concepts,Domain gap,Synthetic-to-real gap,,,,,,,,Concepts/Domain gap.md
Concepts/Emerging Concepts/Emerging Concepts,Concepts,Emerging Concepts,,,,,,,,,Concepts/Emerging Concepts/Emerging Concepts.md
Concepts/Emerging Concepts/Logical anomalies,Concepts,Logical anomalies,logical anomaly,emerging,,,,,,,Concepts/Emerging Concepts/Logical anomalies.md
Concepts/Emerging Concepts/Structural anomalies,Concepts,Structural anomalies,structural anomaly,emerging,,,,,,,Concepts/Emerging Concepts/Structural anomalies.md
Concepts/Industrial visual inspection,Concepts,Industrial visual inspection,Automated optical inspection | Visual inspection,,,,,,,,Concepts/Industrial visual inspection.md
Concepts/Industry 5.0,Concepts,Industry 5.0,human-centric automation,,,,,,,,Concepts/Industry 5.0.md
Concepts/Negative performance effects of image data augmentation,Concepts,Negative performance effects of image data augmentation,Augmentation can worsen image ML performance | Negative results from synthetic image data,,,,,,,,Concepts/Negative performance effects of image data augmentation.md
Concepts/Oriented bounding boxes,Concepts,Oriented bounding boxes,OBB | rotated bounding boxes,,,,,,,,Concepts/Oriented bounding boxes.md
Concepts/Perovskite solar cells,Concepts,Perovskite solar cells,PSC | PSCs | MASnI3 perovskite solar cells,,,,,,,,Concepts/Perovskite solar cells.md
Concepts/Shortcut learning,Concepts,Shortcut learning,context-driven shortcuts | spurious cues,,,,,,,,Concepts/Shortcut learning.md
Concepts/Surface defect detection,Concepts,Surface defect detection,Industrial surface defect detection | Defect detection,,,,,,,,Concepts/Surface defect detection.md
Datasets/Availability Unspecified/A-SEE-Q,Datasets,A-SEE-Q,Augmented SEE-Q,stable,,,unspecified,,,https://github.com/RicardoSPeres/simulation-synth-adhesive,Datasets/Availability Unspecified/A-SEE-Q.md
Datasets/Availability Unspecified/Automotive plastic parts dataset,Datasets,Automotive plastic parts dataset,,stable,,,unspecified,,,,Datasets/Availability Unspecified/Automotive plastic parts dataset.md
Datasets/Availability Unspecified/Baidu aluminium surface defect dataset,Datasets,Baidu aluminium surface defect dataset,Baidu PaddlePaddle aluminium surface defect dataset | Aluminium surface defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Baidu aluminium surface defect dataset.md
