paper_id,title,year,paper_type,venue,authors,doi,arxiv,url,status,datasets,public_datasets,manufacturing_dataset_candidates,methods,tasks,domains,metrics,synthesis_candidate,candidate_match_location,synthesis_families,source_note
sha256:01f65f1d75a4b6522335c0417886d64ee517acda2d4fc0934aa0142919b56f55,TILDA Reference Dataset Report,1996,other,Interner Bericht 4/96,Hanns Schulz-Mirbach,,,https://lmb.informatik.uni-freiburg.de/resources/datasets/tilda.en.html,processed,TILDA,TILDA,TILDA,Reference dataset construction,Textile defect detection,Textile and fiber inspection,,no,none,,Papers/Other/1996 - TILDA Reference Dataset Report.md
doi:10.1109/5.726791,Gradient-Based Learning Applied to Document Recognition,1998,research,Proceedings of the IEEE,Yann LeCun | Leon Bottou | Yoshua Bengio | Patrick Haffner,10.1109/5.726791,,http://www.research.att.com/~yann/ocr/mnist,processed,MNIST,MNIST,,LeNet-5 | Deep convolutional neural network | Graph transformer network,Handwritten digit recognition | Document recognition | Optical character recognition,Document analysis,Error rate,no,none,,Papers/Research/1998 - Gradient-Based Learning Applied to Document Recognition.md
hake1998interactive,Interactive-engagement versus traditional methods: A six-thousand-student survey of mechanics test data for introductory physics courses,1998,other,American Journal of Physics,Richard R. Hake,10.1119/1.18809,,http://dx.doi.org/10.1119/1.18809,processed,62 introductory mechanics courses,,,Interactive engagement,Pre-post diagnostic assessment,physics education,Normalized gain,no,note body,,Papers/Other/1998 - Interactive-engagement versus Traditional Methods.md
sha256:3ad0f6182280e8c0f763527be85d41bce08f6e4d1de3f8c674098f0de31138ce,Random Forests,2001,research,Machine Learning,Leo Breiman,,,,processed,UCI classification benchmarks,,,Random forest | Decision tree | Out-of-bag estimation,Defect classification,,Error rate | Mean Squared Error,no,note body,,Papers/Research/2001 - Random Forests.md
sha256:810398ec32975a2bc86f9e06a1e639967c540a49de1e4774f63c1e862a7fe0bb,Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis,2003,research,ICDAR 2003,Patrice Y. Simard | Dave Steinkraus | John C. Platt,,,,processed,MNIST,MNIST,,Deep convolutional neural network | Elastic distortion augmentation,Handwritten digit recognition | Document recognition,Document analysis,Error rate,no,none,,Papers/Research/2003 - Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis.md
marx2007normalized,Normalized change,2007,other,American Journal of Physics,Jeffrey D. Marx | Karen Cummings,10.1119/1.2372468,,http://dx.doi.org/10.1119/1.2372468,processed,,,,Normalized change,Pre-post diagnostic assessment,physics education,Normalized change,no,note body,,Papers/Other/2007 - Normalized Change.md
sha256:01828060a9391e2dcf9162f58d23552135344327e64cf15437d445093c46d119,Non-parametric texture defect detection using Weibull features,2011,research,"Proceedings of SPIE, Image Processing: Machine Vision Applications IV, volume 7877",Fabian Timm | Erhardt Barth,,,,processed,DAGM2007,DAGM2007,DAGM2007,Weibull texture features | median-distance novelty detection,Surface defect detection | Defect classification,Multi-industry anomaly detection,Error rate | AU-ROC,yes,note body,other generative synthesis,Papers/Research/2011 - Non-parametric Texture Defect Detection Using Weibull Features.md
doi:10.1016/j.apsusc.2013.09.002,A noise robust method based on completed local binary patterns for hot-rolled steel strip surface defects,2013,dataset,Applied Surface Science,Kechen Song | Yunhui Yan,10.1016/j.apsusc.2013.09.002,,https://doi.org/10.1016/j.apsusc.2013.09.002,processed,NEU-CLS,Northeastern University (NEU) surface defect database,Northeastern University (NEU) surface defect database,Adjacent evaluation completed local binary patterns | Feature extraction,Defect classification | Metallic surface defect detection,Metal inspection,Accuracy,no,none,,Papers/Dataset/2013 - A Noise Robust Method Based on Completed Local Binary Patterns for Hot-Rolled Steel Strip Surface Defects.md
arxiv:1406.2661,Generative Adversarial Nets,2014,research,arXiv stat.ML,Ian J. Goodfellow | Jean Pouget-Abadie | Mehdi Mirza | Bing Xu | David Warde-Farley | Sherjil Ozair | Aaron Courville | Yoshua Bengio,10.48550/arXiv.1406.2661,1406.2661,https://arxiv.org/abs/1406.2661,processed,MNIST | Toronto Face Database | CIFAR-10,MNIST,,GAN | Learned generative synthesis,Generative modeling,,Parzen window log-likelihood,no,structured metadata,,Papers/Research/2014 - Generative Adversarial Nets.md
arxiv:1412.6980,Adam: A Method for Stochastic Optimization,2015,research,ICLR 2015,Diederik P. Kingma | Jimmy Lei Ba,,1412.6980,https://arxiv.org/abs/1412.6980,processed,MNIST | IMDB movie reviews | CIFAR-10,MNIST,,Adam | AdaGrad | RMSProp | AdaMax | Stochastic gradient descent,Stochastic optimization,,Error rate | Mean Squared Error,no,none,,Papers/Research/2015 - Adam A Method for Stochastic Optimization.md
sha256:29131f03cd4688d25283b805c91f801948f2a93187c6f058512d84c3b672ba54,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,2015,research,International Conference on Machine Learning,Jascha Sohl-Dickstein | Eric A. Weiss | Niru Maheswaranathan | Surya Ganguli,10.48550/arxiv.1503.03585,1503.03585,http://arxiv.org/abs/1503.03585,processed,Swiss roll | Binary heartbeat | MNIST | CIFAR-10 | Bark texture images | Dead leaves,MNIST,,Diffusion models | Learned generative synthesis,Generative modeling,,Log likelihood | Parzen window log-likelihood,no,structured metadata,,Papers/Research/2015 - Deep Unsupervised Learning using Nonequilibrium Thermodynamics.md
doi:10.1109/tsm.2014.2364237,Wafer Map Failure Pattern Recognition and Similarity Ranking for Large-Scale Data Sets,2015,dataset,IEEE Transactions on Semiconductor Manufacturing,Ming-Ju Wu | Jyh-Shing R. Jang | Jui-Long Chen,10.1109/TSM.2014.2364237,,https://doi.org/10.1109/TSM.2014.2364237,processed,WM-811K,WM-811K,WM-811K,Rotation and scale invariant wafer map features,Wafer map defect classification | Wafer map similarity ranking,Semiconductor and electronics,Accuracy,yes,note body,other generative synthesis,Papers/Dataset/2015 - Wafer Map Failure Pattern Recognition and Similarity Ranking for Large-Scale Data Sets.md
arxiv:1002.18000,"A Large Dataset to Train Convolutional Networks for Disparity, Optical Flow, and Scene Flow Estimation",2016,dataset,CVPR 2016,Nikolaus Mayer | Eddy Ilg | Philip Hausser | Philipp Fischer | Daniel Cremers | Alexey Dosovitskiy | Thomas Brox,,1002.18000,http://lmb.informatik.uni-freiburg.de/resources/datasets/,processed,FlyingThings3D | Monkaa | Driving synthetic scene flow dataset,Driving synthetic scene flow dataset | FlyingThings3D | Monkaa,,Synthetic data generation | Procedural and simulation-based synthesis | DispNet | SceneFlowNet,Scene flow estimation | Optical flow estimation | Disparity estimation,General computer vision,Endpoint error | D1-all,no,structured metadata,,Papers/Dataset/2016 - A Large Dataset to Train Convolutional Networks for Disparity Optical Flow and Scene Flow Estimation.md
arxiv:2250.01000,Deep Residual Learning for Image Recognition,2016,research,CVPR 2016,Kaiming He | Xiangyu Zhang | Shaoqing Ren | Jian Sun,,,,processed,ImageNet | CIFAR-10 | COCO,COCO | ImageNet,,Residual network | Stochastic gradient descent,Image classification | Object detection,,Top-1 error | Top-5 error,no,none,,Papers/Research/2016 - Deep Residual Learning for Image Recognition.md
doi:10.1109/bigdata.2016.7840832,Predict Failures in Production Lines: A Two-stage Approach with Clustering and Supervised Learning,2016,research,2016 IEEE International Conference on Big Data,Darui Zhang | Bin Xu | Jasmine Wood,10.1109/bigdata.2016.7840832,,https://doi.org/10.1109/bigdata.2016.7840832,processed,Bosch Production Line Performance,Bosch Production Line Performance,Bosch Production Line Performance,Principal Component Analysis | K-means clustering | Random forest | Classical ML,Manufacturing failure prediction,Multi-industry anomaly detection,Matthews correlation coefficient | AU-ROC,no,none,,Papers/Research/2016 - Predict Failures in Production Lines A Two-stage Approach with Clustering and Supervised Learning.md
arxiv:4748.68000,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes,2016,dataset,CVPR 2016,German Ros | Laura Sellart | Joanna Materzynska | David Vazquez | Antonio M. Lopez,,,http://adas.cvc.uab.es/synthia,processed,SYNTHIA | KITTI | CamVid | Urban LabelMe | CBCL StreetScenes,SYNTHIA,,Synthetic data generation | Procedural and simulation-based synthesis | Deep convolutional neural network,Urban semantic segmentation,Autonomous driving,Per-class accuracy | Global accuracy,no,structured metadata,,Papers/Dataset/2016 - The SYNTHIA Dataset A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes.md
arxiv:1222.20000,Attention Is All You Need,2017,research,NeurIPS 2017,Ashish Vaswani | Noam Shazeer | Niki Parmar | Jakob Uszkoreit | Llion Jones | Aidan N. Gomez | Lukasz Kaiser | Illia Polosukhin,,,,processed,WMT 2014 English-German | WMT 2014 English-French,,,Transformer | Self-attention | Multi-head attention | Positional encoding | Adam,Machine translation | Sequence-to-sequence learning,,BLEU,no,note body,,Papers/Research/2017 - Attention Is All You Need.md
sha256:a4fdac3d13d95201c141f138e812f197984cf2b96ac86ea1a08c2df753e4d6ce,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,2017,research,IROS 2017,Josh Tobin | Rachel Fong | Alex Ray | Jonas Schneider | Wojciech Zaremba | Pieter Abbeel,,,,processed,Tobin geometric object localization dataset,,,Domain randomization | Procedural and simulation-based synthesis | Deep convolutional neural network,Robotic object localization,Robotic manipulation,Mean localization error | Grasp success rate,no,structured metadata,,Papers/Research/2017 - Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World.md
arxiv:1024.02000,Learning from Simulated and Unsupervised Images through Adversarial Training,2017,research,CVPR 2017,Ashish Shrivastava | Tomas Pfister | Oncel Tuzel | Josh Susskind | Wenda Wang | Russ Webb,,,,processed,UnityEyes | MPIIGaze | NYU hand pose dataset,,,SimGAN | Hybrid generative-procedural synthesis | GAN | Synthetic data generation,Gaze estimation | Hand pose estimation,Human-computer interaction,Gaze estimation error | Hand pose threshold accuracy,no,structured metadata,,Papers/Research/2017 - Learning from Simulated and Unsupervised Images through Adversarial Training.md
arxiv:2863.01000,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks,2017,research,ICCV 2017,Jun-Yan Zhu | Taesung Park | Phillip Isola | Alexei A. Efros,,1703.10593,https://arxiv.org/abs/1703.10593,processed,Cityscapes,,,CycleGAN | GAN | Learned generative synthesis,Image-to-image translation,General computer vision,IoU | Accuracy,no,structured metadata,,Papers/Research/2017 - Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks.md
