long_table_row,study,dataset,task,annotation,synthesis_family,metric,metric_baseline,metric_new,normalized_change
1,"Tsai2025G2LGAN","WM-811K","Classification","Image-level","GAN-based","Accuracy",89.23,98.39,0.8505
2,"Bao2024AutoencoderWDM","WM-811K","Classification","Image-level","Hybrid","validation accuracy",85,98,0.8667
3,"Yu2021MGGAN","WM-811K","Classification","Image-level","GAN-based","accuracy",88.02,93.43,0.4516
4,"AbuEbayyeh2022WaferCaps","WM-811K","Classification","Image-level","GAN-based","test accuracy",78.20,91.41,0.6060
5,"Ji2020WaferGAN","WM-811K","Classification","Image-level","GAN-based","accuracy",97.00,98.30,0.4333
6,"Li2025JRGAN","WM-811K (MIR-WM811K variant)","Classification","Image-level","GAN-based","accuracy",95.14,97.24,0.4321
7,"Li2025JRGAN","MixedWM38","Classification","Image-level","GAN-based","accuracy",94.19,97.38,0.5491
8,"Wang2023cTransGAN","DeepPCB","Object detection","Bounding boxes","Hybrid GAN-based","Faster R-CNN ResNet101 mAP",97.7,98.8,0.4783
9,"AlWaisy2022DeepFeatureELPV","ELPV Solar Cell Dataset (0%/100% subset)","Classification","Image-level","Rule-based / hybrid","binary accuracy",60.00,98.15,0.9538
10,"Wang2022PVDefectDetection","ELPV Solar Cell Dataset","Classification","Image-level","Rule-based / hybrid","accuracy",94.14,96.17,0.3464
11,"Demirci2024HybridSolarGAN","ELPV Solar Cell Dataset","Classification","Image-level","GAN-based / hybrid","accuracy",93.25,94.11,0.1274
12,"Ebied2025AdvancedELPVGAN","ELPV Solar Cell Dataset","Classification","Image-level","GAN-based / hybrid","best tuned class recall mean",0.8903,0.9013,0.1003
13,"Su2021SIGAN","EL-2019 (SIGAN dataset)","Segmentation, classification","Image-level + segmentation evaluation","GAN-based","segmentation total F-score vs SEF",69.08,90.34,0.6876
14,"Chen2024NHDYOLO","NEU-DET","Detection","Bounding boxes","Rule-based / hybrid","small-object AP",26.90,31.30,0.0602
15,"Liu2023DualDiscriminator","NEU-CLS","Detection","Image-level (converted for detection)","GAN-based","mAP@0.5",82.26,97.59,0.8641
