index,evidence_id,metric,baseline,after,nc,domain,concept,model,family
1,E01,Accuracy,89.23,98.39,0.85,Semiconductor,Classification,CNN,GAN
2,E02,Accuracy,85.00,98.00,0.87,Semiconductor,Classification,CNN,Hybrid
3,E03,Accuracy,88.02,93.43,0.45,Semiconductor,Classification,ResNet,GAN
4,E04,Accuracy,78.20,91.41,0.61,Semiconductor,Classification,Other,GAN
5,E05,Accuracy,97.00,98.30,0.43,Semiconductor,Classification,CNN,GAN
6,E06,Accuracy,95.14,97.24,0.43,Semiconductor,Classification,ResNet,GAN
7,E07,Accuracy,94.19,97.38,0.55,Semiconductor,Classification,ResNet,GAN
8,E08,mAP,97.70,98.80,0.48,Semiconductor,Detection,Detector,GAN
9,E09,Accuracy,60.00,98.15,0.95,SolarPV,Classification,Other,Rule
10,E10,Accuracy,94.14,96.17,0.35,SolarPV,Classification,Other,Rule
11,E11,Accuracy,93.25,94.11,0.13,SolarPV,Classification,CNN,GAN
12,E12,Recall,89.03,90.13,0.10,SolarPV,Classification,CNN,GAN
13,E13,F-score,69.08,90.34,0.69,SolarPV,Segmentation,Other,GAN
14,E14,AP,26.90,31.30,0.06,Metals,Detection,YOLO,Rule
15,E15,mAP,82.26,97.59,0.86,Metals,Detection,Detector,GAN
16,E16,mAP,81.40,85.10,0.20,Metals,Detection,YOLO,GAN
17,E17,mAP,63.75,67.91,0.11,Metals,Detection,Detector,Rule
18,E18,Accuracy,92.87,96.35,0.49,Metals,Classification,ResNet,GAN
19,E19,mAP,74.80,80.30,0.22,Metals,Detection,YOLO,Diffusion
20,E20,Accuracy,93.24,99.89,0.98,Metals,Classification,ResNet,Diffusion
21,E21,mIoU,71.31,76.20,0.17,Metals,Segmentation,SegNet,Diffusion
22,E22,F1,5.10,29.60,0.26,Metals,Classification,ResNet,Diffusion
23,E23,mAP,68.52,74.39,0.19,Metals,Detection,Detector,Rule
24,E24,F1,26.78,96.99,0.96,Textiles,Segmentation,SegNet,GAN
25,E25,Accuracy,74.91,84.78,0.39,Textiles,Classification,ResNet,GAN
26,E26,mAP,96.10,98.60,0.64,Textiles,Detection,YOLO,Hybrid
27,E27,Accuracy,78.00,93.00,0.68,Glass,Classification,CNN,Diffusion
28,E28,mAP,34.20,39.70,0.08,Automotive,Detection,GroundingDINO,Hybrid
29,E29,AUROC,85.00,95.20,0.68,MultiIndustry,Anomaly,AnomalyModel,Rule
30,E30,AUROC,95.40,98.30,0.63,MultiIndustry,Anomaly,AnomalyModel,Rule
31,E31,AUROC,94.80,98.00,0.62,MultiIndustry,Anomaly,AnomalyModel,Rule
32,E32,AUROC,98.00,99.70,0.85,MultiIndustry,Anomaly,AnomalyModel,Rule
33,E33,AUROC,96.10,97.61,0.39,MultiIndustry,Anomaly,AnomalyModel,Rule
34,E34,AUROC,94.40,95.50,0.20,MultiIndustry,Anomaly,AnomalyModel,Rule
35,E35,AUROC,99.10,99.30,0.22,MultiIndustry,Anomaly,AnomalyModel,Rule
36,E36,AUROC,98.60,99.00,0.29,MultiIndustry,Anomaly,AnomalyModel,Rule
37,E37,AP,60.30,65.50,0.13,MultiIndustry,Anomaly,AnomalyModel,Rule
38,E38,IoU,46.49,57.66,0.21,MultiIndustry,Segmentation,SegNet,Diffusion
39,E39,IoU,17.69,29.40,0.14,MultiIndustry,Segmentation,SegNet,Diffusion
